"Name","Platform","Genre","Publisher","Developer","Rating","Global_Sales","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count"
"Blazing Angels 2: Secret Missions of","X360","Simulation","Ubisoft","Ubisoft Romania","T","0.14","2007","72","24","7.8","12"
"Freelancer","PC","Simulation","Microsoft Game Studios","Digital Anvil","T","0.05","2003","85","39","9","185"
"Geist","GC","Adventure","Nintendo","n-Space","M","0.15","2005","66","43","8.5","23"
"Resident Evil 6","X360","Shooter","Capcom","Capcom","M","1.95","2012","67","71","5","1407"
"Ping Pals","DS","Misc","THQ","WayForward","E","0.11","2004","28","17","3.9","26"
"Madden NFL 2005","GBA","Sports","Electronic Arts","Exient Entertainment","E","0.39","2004","79","9","7.6","5"
"Fisherman's Challenge","PS2","Sports","Konami Digital Entertainmen","Konami","E","0.04","2003","67","7","7.5","4"
"Silent Scope","GBA","Shooter","Konami Digital Entertainmen","Now Production","T","0.03","2002","70","5","8","5"
"Metroid: Other M","Wii","Action","Nintendo","Team Ninja","T","1.34","2010","79","71","6.5","482"
"TMNT","Wii","Action","Ubisoft","Ubisoft Montreal","E10+","0.36","2007","60","17","5.9","11"
"CSI: Fatal Conspiracy","PC","Adventure","Ubisoft","Telltale Games","M","0.04","2010","47","5","5.5","6"
"Iron Man","X360","Action","Sega","Secret Level","T","0.57","2008","45","43","5.9","52"
"Viking: Battle for Asgard","PS3","Action","Sega","Creative Assembly","M","0.38","2008","65","38","7.4","32"
"The Legend of Spyro: The Eternal Nigh","DS","Platform","Vivendi Games","Amaze Entertainment","E","0.37","2007","56","4","2.7","6"
"NHL 2K3","PS2","Sports","Sega","Treyarch","E","0.21","2002","89","25","7.8","17"
"Digimon Rumble Arena 2","XB","Fighting","Atari","Black Ship Games","T","0.02","2004","65","8","8.8","4"
"Spider-Man: Web of Shadows","X360","Action","Activision","Shaba Games","T","0.4","2008","68","57","8.6","87"
"Road Trip","PS2","Racing","Play It","Takara","E","0.09","2002","80","4","9","41"
"Monster Rancher 3","PS2","Simulation","Tecmo Koei","Tecmo","E","0.36","2001","77","13","8.5","23"
"Virtua Tennis 4","Wii","Sports","Sega","Sega","E","0.14","2011","65","15","7.5","4"
"Blazing Angels 2: Secret Missions of","PS3","Simulation","Ubisoft","Ubisoft Romania","T","0.15","2007","70","10","7.2","12"
"Pure Futbol","X360","Sports","Ubisoft","Ubisoft Vancouver","E","0.18","2010","38","20","7.9","29"
"Pump It Up: Exceed","XB","Misc","Mastiff","Andamiro U.S.A. Corp","T","0.02","2005","74","9","7.5","4"
"Final Fantasy XII","PS2","Role-Playing","Square Enix","Square Enix","T","5.95","2006","92","64","7.6","972"
"Spy Hunter","PS2","Racing","Midway Games","Paradigm Entertainme","T","1.67","2001","84","28","7.8","13"
"The Urbz: Sims in the City","PS2","Simulation","Electronic Arts","Maxis","T","1.76","2004","70","25","8.2","24"
"El Shaddai: Ascension of the Metatron","X360","Action","Ignition Entertainment","Ignition Entertainme","T","0.16","2011","75","44","7","47"
"You Don't Know Jack","PS3","Misc","THQ","Jellyvision, Iron Ga","T","0.18","2011","82","11","7.3","18"
"Secret Files: Tunguska","PC","Adventure","DreamCatcher Interactive","Fusionsphere Systems","T","0.04","2006","66","26","7.4","38"
"Tony Hawk's Underground","GBA","Sports","Activision","Vicarious Visions","E","0.6","2003","86","9","7.7","9"
"Super Monkey Ball Adventure","PS2","Platform","Sega","TT Games","E","0.03","2006","53","32","6.7","10"
"LEGO Batman: The Videogame","PS3","Action","Warner Bros. Interactive En","Traveller's Tales","E10+","1.29","2008","75","24","7.7","33"
"MX vs. ATV: Alive","PS3","Racing","THQ","THQ Digital Studio P","E","0.46","2011","61","41","6.7","11"
"Tokyo Xtreme Racer 3","PS2","Racing","Genki","Genki","E","0.91","2003","63","15","8.9","23"
"Hunted: The Demon's Forge","X360","Action","Bethesda Softworks","InXile Entertainment","M","0.22","2011","61","59","6","116"
"NCAA Football 09","PS3","Sports","Electronic Arts","EA Tiburon","E","0.58","2008","81","20","7.3","25"
"Charlie and the Chocolate Factory","PS2","Adventure","Global Star","High Voltage Softwar","E","0.35","2005","35","21","4.1","28"
"Need for Speed: Hot Pursuit","PS3","Racing","Electronic Arts","Criterion Games","E10+","2.78","2010","89","59","7.2","301"
"Tom Clancy's Rainbow Six 3","XB","Shooter","Ubisoft","Ubisoft","M","1.55","2003","86","39","8.5","31"
"All-Pro Football 2K8","X360","Sports","Take-Two Interactive","Visual Concepts","E10+","0.26","2007","75","22","6.8","52"
"Dragon Ball Z for Kinect","X360","Fighting","Namco Bandai Games","Spike","T","0.01","2012","49","32","2.1","39"
"Kung Fu Panda","PC","Action","Activision","Beenox","E10+","0.02","2008","71","11","7.8","12"
"Battlestations: Pacific","X360","Strategy","Eidos Interactive","Eidos Interactive","T","0.32","2009","76","48","7.4","41"
"Star Ocean: The Last Hope Internation","PS3","Role-Playing","Square Enix","Square Enix, Tri-Ace","T","0.72","2010","74","45","6.7","155"
"The Last Remnant","PC","Role-Playing","Square Enix","Square Enix","M","0.01","2009","66","23","8.3","240"
"Venetica","PC","Role-Playing","DTP Entertainment","Deck 13","T","0.05","2009","61","17","6.8","51"
"Black","XB","Shooter","Electronic Arts","Criterion Games","M","0.42","2006","77","65","8","51"
"Captain America: Super Soldier","PS3","Action","Sega","Next Level Games","T","0.19","2011","61","34","7.3","40"
"Overlord II","X360","Action","Codemasters","Triumph Studios","T","0.32","2009","75","60","7.2","46"
"The Chronicles of Narnia: Prince Casp","Wii","Action","Disney Interactive Studios","Traveller's Tales","T","0.36","2008","63","5","7.1","12"
"Onechanbara: Bikini Zombie Slayers","Wii","Action","D3Publisher","Tamsoft","M","0.12","2008","55","24","8","20"
"Samurai Warriors 2","X360","Action","Tecmo Koei","Omega Force","T","0.08","2006","52","30","8.7","18"
"Big Mutha Truckers","XB","Racing","Empire Interactive","Eutechnyx","T","0.19","2002","59","12","4.3","9"
"Evolution Skateboarding","PS2","Sports","Konami Digital Entertainmen","Konami","T","0.26","2002","44","14","6.7","9"
"Prince of Persia: Warrior Within","XB","Action","Ubisoft","Ubisoft Montreal","M","0.8","2004","83","55","7.5","35"
"Brothers In Arms: D-Day","PSP","Shooter","Ubisoft","Ubisoft Shanghai","M","0.46","2006","65","19","9.1","64"
"Reign of Fire","GC","Shooter","BAM! Entertainment","Kuju Entertainment","T","0.11","2002","54","9","5.9","7"
"Need for Speed: ProStreet","PS3","Racing","Electronic Arts","EA Black Box","E10+","2.04","2007","73","26","6","43"
"SOCOM II: U.S. Navy SEALs","PS2","Shooter","Sony Computer Entertainment","Zipper Interactive","M","2.94","2003","87","42","9","93"
"No More Heroes: Heroes' Paradise","PS3","Action","Konami Digital Entertainmen","FeelPlus","M","0.19","2010","72","38","7.3","38"
"Sonic Colors","DS","Platform","Sega","Dimps Corporation","E","1.29","2010","79","26","7.9","66"
"Top Gear RPM Tuning","XB","Racing","Wanadoo","Babylon Software","T","0.02","2005","45","10","7.5","4"
"Major League Baseball 2K9","Wii","Sports","Take-Two Interactive","2K Sports","E","0.26","2009","61","5","4.5","10"
"Madden NFL 07","PS3","Sports","Electronic Arts","EA Tiburon","E","0.52","2006","76","25","4.2","22"
"WWE '12","PS3","Fighting","THQ","Yuke's","T","1.17","2011","72","28","6.9","80"
"Shadow Man: 2econd Coming","PS2","Adventure","Acclaim Entertainment","Acclaim","M","0.16","2002","68","24","7.6","8"
"The Italian Job","PS2","Racing","Eidos Interactive","Climax Group","T","0.23","2003","55","18","6.3","4"
"Need for Speed: Hot Pursuit 2","PS2","Racing","Electronic Arts","Black Box","E","2.11","2002","89","31","8.5","92"
"Fight Night Champion","X360","Fighting","Electronic Arts","EA Canada","M","0.78","2011","86","59","7.4","105"
"Area 51","XB","Shooter","Midway Games","Midway Studios - Aus","M","0.29","2005","72","43","8.1","16"
"G1 Jockey 3","PS2","Sports","THQ","Koei/Inis","E","0.1","2002","71","12","9","10"
"LEGO Batman: The Videogame","X360","Action","Warner Bros. Interactive En","Traveller's Tales","E10+","3.38","2008","76","49","7.9","75"
"Luminous Arc","DS","Role-Playing","Rising Star Games","Image Epoch, Imageep","T","0.24","2007","70","25","7","24"
"Red Faction: Armageddon","X360","Shooter","THQ","Volition Inc.","M","0.39","2011","71","74","7","77"
"NFL Street 2","PS2","Sports","Electronic Arts","EA Tiburon","E","1.61","2004","77","33","8.7","20"
"Scarface: The World is Yours","Wii","Action","Vivendi Games","Radical Entertainmen","M","0.14","2007","71","23","8.4","29"
"Popeye: Rush for Spinach","GBA","Platform","Atari","Magic Pockets","E","0.03","2005","48","9","4.2","5"
"The King of Fighters 2000/2001","PS2","Fighting","Ignition Entertainment","SNK Playmore","T","0.11","2003","71","31","8.6","17"
"Medal of Honor Heroes","PSP","Shooter","Electronic Arts","Team Fusion","T","2.65","2006","71","24","7.9","47"
"Don King Presents: Prizefighter","X360","Sports","Take-Two Interactive","Venom Games","T","0.25","2008","56","45","6.4","29"
"Need for Speed: Most Wanted 5-1-0","PSP","Racing","Electronic Arts","EA Canada","E10+","2.07","2005","72","21","7.8","54"
"NBA Starting Five","XB","Sports","Konami Digital Entertainmen","Konami","E","0.02","2002","48","4","5.5","4"
"Red Faction: Armageddon","PS3","Shooter","THQ","Volition Inc.","M","0.45","2011","71","52","7.3","58"
"Singularity","PC","Shooter","Mastertronic","Raven Software","M","0.05","2010","76","36","7.7","326"
"Spider-Man: Friend or Foe","PC","Action","Activision","Beenox","E10+","0.01","2007","57","9","5.3","11"
"Dead to Rights II","XB","Shooter","Electronic Arts","Namco","M","0.11","2005","54","35","7.4","5"
"Spyro: Shadow Legacy","DS","Action","Vivendi Games","Amaze Entertainment","E","0.16","2005","50","18","5.7","16"
"Avalon Code","DS","Role-Playing","Rising Star Games","Matrix Software, Mar","E10+","0.24","2008","71","29","7.4","13"
"The Lord of the Rings: Conquest","PS3","Action","Electronic Arts","Pandemic Studios","T","0.74","2009","54","45","7.1","57"
"Just Dance 3","X360","Misc","Ubisoft","Ubisoft","E10+","2.02","2011","70","34","7.7","17"
"Where the Wild Things Are","PS3","Platform","Warner Bros. Interactive En","Griptonite Games","E10+","0.11","2009","53","8","4.8","4"
"The Matrix: Path of Neo","XB","Action","Atari","Shiny Entertainment","T","0.31","2005","73","39","7.3","20"
"Super Mario Sunshine","GC","Platform","Nintendo","Nintendo","E","6.31","2002","92","61","8.6","439"
"Mario Pinball Land","GBA","Misc","Nintendo","Fuse Games Limited","E","0.69","2004","62","35","4.9","11"
"Tiger Woods PGA Tour 2003","PS2","Sports","Electronic Arts","EA Sports","E","1.64","2002","88","18","8.9","18"
"The Legend of Zelda: Twilight Princes","Wii","Action","Nintendo","Nintendo","T","7.15","2006","95","73","9","1658"
"Darkwatch","XB","Shooter","Ubisoft","High Moon Studios","M","0.21","2005","75","43","8.1","21"
"Carnival Island","PS3","Misc","Sony Computer Entertainment","Magic Pixel Games","E","0.23","2011","66","25","5.2","5"
"NBA","PSP","Sports","Sony Computer Entertainment","989 Sports","E","0.21","2005","57","25","6.9","14"
"Herdy Gerdy","PS2","Adventure","Eidos Interactive","Core Design Ltd.","E","0.22","2002","69","24","5","12"
"25 to Life","PS2","Shooter","Eidos Interactive","Ritual Entertainment","M","0.42","2006","39","23","4.9","46"
"Crazy Taxi: Catch a Ride","GBA","Racing","THQ","Graphic State","E","0.3","2003","48","14","5.9","8"
"G.I. Joe: The Rise of Cobra","X360","Action","Electronic Arts","Double Helix Games","T","0.24","2009","42","59","4.7","22"
"Monopoly Streets","X360","Misc","Electronic Arts","Electronic Arts","E","0.28","2010","66","18","6.6","16"
"Worms: A Space Oddity","Wii","Strategy","THQ","Team 17","E10+","0.08","2008","64","26","4.3","13"
"Retro Game Challenge","DS","Action","Namco Bandai Games","Indies Zero","E","0.11","2007","77","30","7.3","15"
"Disney Sing It","X360","Misc","Disney Interactive Studios","Zoe Mode","E","0.43","2008","53","10","5.2","6"
"Magna Carta: Tears of Blood","PS2","Role-Playing","505 Games","SoftMax","T","0.22","2004","66","34","7","22"
"Sakura Wars: So Long, My Love","PS2","Role-Playing","Sega","RED Entertainment","T","0.29","2005","81","15","7.3","26"
"SSX","X360","Sports","Electronic Arts","EA Canada","E","0.7","2012","82","65","6.4","186"
"Star Wars: Jedi Starfighter","XB","Simulation","Activision","Secret Level","T","0.44","2002","78","22","5.2","5"
"Rocky","PS2","Fighting","Rage Software","Rage Software","T","0.86","2002","74","14","8.4","11"
"Shining Force NEO","PS2","Role-Playing","Sega","Neverland","T","0.11","2005","69","12","8.1","20"
"Spider-Man 2","DS","Action","Activision","Vicarious Visions","E","0.49","2004","61","46","5","6"
"Top Gear Rally","GBA","Racing","Kemco","Tantalus Interactive","E","0.09","2003","78","12","7.6","5"
"Dream Pinball 3D","Wii","Misc","SouthPeak Games","TopWare Interactive","E10+","0.14","2008","54","8","7.6","7"
"River City Ransom EX","GBA","Action","Atlus","Million","T","0.07","2004","75","21","8.4","7"
"Mr. Driller: Drill Spirits","DS","Puzzle","Nintendo","Namco","E","0.14","2004","70","35","8.9","9"
"Gallop Racer 2006","PS2","Sports","Tecmo Koei","Tecmo","E","0.1","2005","69","15","8.3","8"
"Mass Effect 3","PC","Role-Playing","Electronic Arts","BioWare","M","0.97","2012","89","23","5.5","5926"
"LEGO Harry Potter: Years 1-4","X360","Action","Warner Bros. Interactive En","Traveller's Tales","E10+","1.55","2010","79","58","8","62"
"NBA 2K8","X360","Sports","Take-Two Interactive","Visual Concepts","E","0.85","2007","81","33","7","28"
"The Elder Scrolls V: Skyrim","PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studio","M","6.41","2011","92","16","6.4","2527"
"Burnout 3: Takedown","XB","Racing","Electronic Arts","Criterion Games","T","1.31","2004","94","76","7.2","139"
"Madden NFL 08","Wii","Sports","Electronic Arts","EA Tiburon","E","0.87","2007","76","29","6.8","27"
"Yakuza: Dead Souls","PS3","Shooter","Sega","Ryu ga Gotoku Studio","M","0.6","2011","64","55","7.4","69"
"Age of Empires: The Age of Kings","DS","Strategy","THQ","Backbone Entertainme","E10+","0.22","2006","80","38","7.9","59"
"Conflict: Global Terror","XB","Shooter","SCi","Pivotal Games","M","0.1","2005","62","24","7.9","8"
"Grand Prix Challenge","PS2","Racing","Atari","Atari","E","0.08","2002","76","9","9.2","9"
"Super Monkey Ball: Banana Blitz","Wii","Misc","Sega","Sega","E","2.24","2006","74","53","5.7","72"
"BlazBlue: Continuum Shift II","PSP","Fighting","PQube","Arc System Works","T","0.13","2011","77","8","6.8","10"
"Gray Matter","PC","Adventure","DTP Entertainment","Wizarbox","T","0.08","2011","72","27","7.7","80"
"Dragon Rage","PS2","Shooter","3DO","3DO","T","0.06","2001","50","9","6.4","9"
"The New York Times Crosswords","DS","Puzzle","Majesco Entertainment","BudCat","T","0.45","2007","79","15","6.7","6"
"Empire Earth III","PC","Strategy","Vivendi Games","Mad Doc Software","T","0.04","2007","50","40","2.8","53"
"Pirates of the Caribbean: At World's","PS3","Action","Disney Interactive Studios","Eurocom Entertainmen","T","0.73","2007","55","24","6.9","19"
"Ar tonelico Qoga: Knell of Ar Ciel","PS3","Role-Playing","Tecmo Koei","Gust","M","0.24","2010","61","27","5.4","101"
"BeyBlade VForce: Super Tournament Bat","GC","Action","Atari","Takara","E","0.21","2002","33","6","7.5","18"
"CSI: Fatal Conspiracy","X360","Adventure","Ubisoft","Telltale Games","M","0.17","2010","42","9","4.8","4"
"Culdcept","PS2","Strategy","Sega","NEC Interchannel","T","0.03","2002","78","26","8.9","9"
"Commander: Conquest of the Americas","PC","Strategy","Paradox Interactive","Nitro Games","T","0.03","2010","68","16","5.2","19"
"We Cheer","Wii","Simulation","505 Games","Machatin, Inc.","E10+","0.52","2008","56","12","7.3","13"
"America's Test Kitchen: Let's Get Coo","DS","Simulation","Nintendo","Indies Zero","E","0.26","2010","87","4","5.6","9"
"Legendary","PS3","Shooter","Atari","Spark Unlimited","M","0.13","2008","50","31","7.1","31"
"X-Men: Destiny","X360","Action","Activision","Silicon Knights","T","0.24","2011","47","51","5","72"
"Tom Clancy's Rainbow Six: Lockdown","XB","Shooter","Ubisoft","Red Storm Entertainm","M","0.41","2005","74","39","6.6","28"
"Aggressive Inline","GC","Sports","Acclaim Entertainment","Z-Axis, Ltd.","T","0.06","2002","88","16","7.8","5"
"Sniper: Ghost Warrior","PS3","Shooter","City Interactive","City Interactive","M","0.79","2011","53","17","6","34"
"FlingSmash","Wii","Action","Nintendo","Artoon","E","0.47","2010","48","26","6.8","13"
"Agatha Christie: Evil Under the Sun","Wii","Adventure","The Adventure Company","AWE Games","T","0.08","2008","46","6","7.3","6"
"MLB 06: The Show","PSP","Sports","Sony Computer Entertainment","SCEA San Diego Studi","E","0.35","2006","83","30","8.5","32"
"Rayman 3","GBA","Platform","Ubisoft","Ubisoft","E","0.14","2003","83","21","7.8","8"
"College Hoops 2K6","X360","Sports","Take-Two Interactive","2K Sports","E","0.12","2006","70","17","7.3","11"
"NHL 11","PS3","Sports","Electronic Arts","Electronic Arts","E10+","0.59","2010","88","38","7.1","54"
"Animal Crossing: City Folk","Wii","Simulation","Nintendo","Nintendo","E","4.62","2008","73","50","7.6","119"
"LEGO The Lord of the Rings","PC","Action","Warner Bros. Interactive En","TT Games","E10+","0.22","2012","80","6","8.2","127"
"Lost in Shadow","Wii","Platform","Konami Digital Entertainmen","Hudson Soft","E10+","0.12","2010","68","38","8.7","18"
"Castlevania: Aria of Sorrow","GBA","Platform","Konami Digital Entertainmen","KCET","T","0.28","2003","91","29","9.1","127"
"Playboy: The Mansion","XB","Simulation","Ubisoft","Cyberlore Studios","M","0.09","2005","61","43","4.1","9"
"NBA Live 07","PSP","Sports","Electronic Arts","EA Sports","E","0.51","2006","64","9","7.5","4"
"Warriors Orochi","PS2","Action","Tecmo Koei","Omega Force","T","0.87","2007","55","14","8.2","16"
"Sly 2: Band of Thieves","PS2","Platform","Sony Computer Entertainment","Sucker Punch","E","1.81","2004","88","64","9","178"
"Time Crisis: Razing Storm","PS3","Shooter","Namco Bandai Games","Nex Entertainment","T","0.54","2010","58","49","5.9","15"
"NBA Jam","XB","Sports","Acclaim Entertainment","Acclaim","E","0.14","2003","68","17","9.1","7"
"Tim Burton's The Nightmare Before Chr","XB","Adventure","Disney Interactive Studios","Capcom","E10+","0.09","2005","65","19","7.3","6"
"Red Dead Revolver","XB","Shooter","Take-Two Interactive","Rockstar San Diego","M","0.55","2004","74","61","8.5","26"
"Rugby 06","PS2","Sports","Electronic Arts","EA Canada","E","0.05","2006","70","6","7.8","27"
"Mario vs. Donkey Kong 2: March of the","DS","Puzzle","Nintendo","Nintendo, Nintendo S","E","1.19","2006","76","32","7.9","17"
"Dawn of Discovery","PC","Simulation","Ubisoft","Blue Byte, Related D","T","0.38","2009","82","32","8.8","132"
"UFC: Tapout 2","XB","Fighting","Capcom","DreamFactory","T","0.1","2003","66","14","7.3","4"
"Haze","PS3","Shooter","Ubisoft","Free Radical Design","M","0.99","2008","55","65","6.5","294"
"Style Savvy","DS","Simulation","Nintendo","syn Sophia","E","2.58","2008","73","4","7.7","7"
"Half-Life 2","PC","Shooter","Vivendi Games","Valve Software","M","2.37","2004","96","81","9.1","8665"
"Dead or Alive Xtreme Beach Volleyball","XB","Sports","Microsoft Game Studios","Team Ninja","M","0.59","2003","73","42","7.8","47"
"Shrek","XB","Platform","TDK Mediactive","Digital Illusions","T","0.36","2001","49","19","5.4","9"
"Auto Modellista","PS2","Racing","Capcom","Capcom","E","0.39","2002","66","20","7.5","13"
"RoadKill","PS2","Action","Midway Games","Terminal Reality","M","0.17","2003","71","27","7.9","11"
"Legend: Hand of God","PC","Role-Playing","DTP Entertainment","Master Creating","M","0.02","2007","57","9","5.8","19"
"Star Trek: Shattered Universe","PS2","Simulation","Global Star","Starsphere Interacti","E","0.1","2004","42","19","8.3","18"
"[Prototype 2]","PS3","Action","Activision","Radical Entertainmen","M","0.74","2012","79","39","6.8","179"
"Mission: Impossible - Operation Surma","XB","Platform","Atari","Paradigm Entertainme","T","0.13","2003","67","27","6.8","4"
"Ty the Tasmanian Tiger 3: Night of th","PS2","Action","Activision","Krome Studios","E10+","0.19","2005","68","13","8.1","15"
"Naruto Shippuden: Ultimate Ninja Hero","PSP","Fighting","Namco Bandai Games","CyberConnect2","T","0.38","2009","61","22","6.6","19"
"Pinball Hall of Fame: The Gottlieb Co","PSP","Misc","Play It","Farsight Studios","E","0.23","2005","73","27","8.1","13"
"Grandia III","PS2","Role-Playing","Square Enix","Game Arts","T","0.49","2005","77","38","8.3","53"
"Kingdom Under Fire: The Crusaders","XB","Strategy","Deep Silver","Phantagram","M","0.32","2004","81","50","7.9","31"
"Guitar Hero: Smash Hits","PS3","Misc","Activision","Beenox","T","0.35","2009","73","34","7.2","9"
"LEGO Indiana Jones 2: The Adventure C","PS3","Action","Activision","Traveller's Tales","E10+","0.89","2009","70","25","7.1","16"
"Tom Clancy's Ghost Recon","PS2","Shooter","Ubisoft","Ubisoft","M","1.94","2002","63","18","8.3","22"
"World Series of Poker 2008: Battle fo","X360","Misc","Activision","Left Field Productio","T","0.08","2007","74","10","6.7","6"
"Sniper Elite","XB","Shooter","Ubisoft","Rebellion","M","0.09","2005","77","25","8.5","11"
"Coded Arms","PSP","Shooter","Konami Digital Entertainmen","Konami","T","0.75","2005","59","42","6.5","61"
"Ninja Gaiden: Dragon Sword","DS","Action","Tecmo Koei","Team Ninja","T","0.21","2008","83","52","7.8","36"
"Pokemon Mystery Dungeon: Explorers of","DS","Role-Playing","Nintendo","ChunSoft","E","1.56","2009","54","26","9","133"
"Teen Titans","PS2","Action","THQ","Artificial Mind and","E10+","0.25","2006","56","12","8.6","17"
"Baldur's Gate: Dark Alliance","GC","Role-Playing","Virgin Interactive","High Voltage Softwar","T","0.14","2002","79","10","7.7","22"
"Monopoly Streets","PS3","Misc","Electronic Arts","Electronic Arts","E","0.39","2010","64","11","6.1","9"
"Okami","Wii","Action","Capcom","Ready at Dawn","T","0.6","2008","90","44","8.9","236"
"Dragon Ball: Revenge of King Piccolo","Wii","Action","Namco Bandai Games","Media Vision","E10+","0.2","2009","65","25","7.3","15"
"MindJack","X360","Shooter","Square Enix","FeelPlus","M","0.09","2011","43","42","1.2","116"
"FIFA Soccer 11","Wii","Sports","Electronic Arts","EA Sports","E","1.07","2010","73","17","7.3","8"
"Viva Pinata: Trouble in Paradise","X360","Simulation","Microsoft Game Studios","Rare Ltd.","E","0.47","2008","82","64","7.9","61"
"Chili Con Carnage","PSP","Shooter","Eidos Interactive","Deadline Games","M","0.02","2007","74","37","8.2","13"
"Castlevania: Order of Ecclesia","DS","Platform","Konami Digital Entertainmen","Konami","T","0.36","2008","85","46","8.7","111"
"Mortal Kombat: Deception","GC","Fighting","Midway Games","Midway","M","0.11","2005","77","14","8.9","15"
